Route_Point_ID;Aar1;Latitude.x;Longitude.x;Hoh_DEM
525_5;2017;61.77106724;9.944255501;1128
525_6;2017;61.77374563;9.943806924;1101
525_7;2017;61.77395801;9.949461549;1101
525_8;2017;61.77416105;9.955134921;1085
525_9;2017;61.77437296;9.960789696;1068
525_10;2017;61.7745845;9.966463497;1053
525_11;2017;61.77478697;9.972118141;1056
525_12;2017;61.77210849;9.972564269;1043
525_13;2017;61.76942103;9.973010039;1041
525_14;2017;61.76674268;9.973437072;1032
525_15;2017;61.76405521;9.973882692;1020
525_16;2017;61.76137685;9.974309579;1014
525_17;2017;61.76116549;9.968657102;1038
525_18;2017;61.76096301;9.962986039;1053
525_19;2017;61.76075118;9.957333711;1079
525_20;2017;61.76053913;9.951681459;1076
525_1;2018;61.76033594;9.946010617;1085
525_2;2018;61.76301435;9.94556234;1129
525_3;2018;61.76570159;9.945133207;1180
525_4;2018;61.76837999;9.944684781;1185
525_5;2018;61.77106724;9.944255501;1128
525_6;2018;61.77374563;9.943806924;1101
525_7;2018;61.77395801;9.949461549;1101
525_8;2018;61.77416105;9.955134921;1085
525_10;2018;61.7745845;9.966463497;1053
525_11;2018;61.77478697;9.972118141;1056
525_12;2018;61.77210849;9.972564269;1043
525_13;2018;61.76942103;9.973010039;1041
525_14;2018;61.76674268;9.973437072;1032
525_15;2018;61.76405521;9.973882692;1020
525_16;2018;61.76137685;9.974309579;1014
525_17;2018;61.76116549;9.968657102;1038
525_18;2018;61.76096301;9.962986039;1053
525_19;2018;61.76075118;9.957333711;1079
525_20;2018;61.76053913;9.951681459;1076
525_1;2019;61.76033594;9.946010617;1085
525_2;2019;61.76301435;9.94556234;1129
525_3;2019;61.76570159;9.945133207;1180
525_4;2019;61.76837999;9.944684781;1185
525_5;2019;61.77106724;9.944255501;1128
525_6;2019;61.77374563;9.943806924;1101
525_7;2019;61.77395801;9.949461549;1101
525_8;2019;61.77416105;9.955134921;1085
525_9;2019;61.77437296;9.960789696;1068
525_10;2019;61.7745845;9.966463497;1053
525_11;2019;61.77478697;9.972118141;1056
525_12;2019;61.77210849;9.972564269;1043
525_14;2019;61.76674268;9.973437072;1032
525_15;2019;61.76405521;9.973882692;1020
525_17;2019;61.76116549;9.968657102;1038
525_18;2019;61.76096301;9.962986039;1053
525_19;2019;61.76075118;9.957333711;1079
525_20;2019;61.76053913;9.951681459;1076
526_17;2007;61.81346635;7.561643467;1029
526_18;2007;61.81323914;7.555390857;1043
526_19;2007;61.81292831;7.549749616;1033
526_18;2008;61.81323914;7.555390857;1043
526_2;2009;61.8149835;7.537808732;1095
526_16;2009;61.81385133;7.56669308;1017
526_18;2009;61.81323914;7.555390857;1043
526_20;2009;61.81261725;7.544108492;1043
526_1;2014;61.81231493;7.538467059;1045
526_4;2014;61.82032083;7.536510701;1395
526_18;2014;61.81323914;7.555390857;1043
526_19;2014;61.81292831;7.549749616;1033
526_1;2015;61.81231493;7.538467059;1045
526_16;2015;61.81385133;7.56669308;1017
526_17;2015;61.81346635;7.561643467;1029
526_19;2015;61.81292831;7.549749616;1033
526_20;2015;61.81261725;7.544108492;1043
526_1;2016;61.81231493;7.538467059;1045
526_19;2016;61.81292831;7.549749616;1033
526_20;2016;61.81261725;7.544108492;1043
526_1;2018;61.81231493;7.538467059;1045
526_2;2018;61.8149835;7.537808732;1095
526_10;2018;61.82716751;7.558229869;1411
526_11;2018;61.82720402;7.563430903;1424
526_12;2018;61.82453532;7.564087283;1370
526_13;2018;61.82155333;7.564834115;1335
526_14;2018;61.81922628;7.564677007;1297
526_16;2018;61.81385133;7.56669308;1017
526_17;2018;61.81346635;7.561643467;1029
526_18;2018;61.81323914;7.555390857;1043
526_19;2018;61.81292831;7.549749616;1033
527_13;2017;61.83987424;7.903764637;1549
528_6;2008;61.89300105;8.893970542;1227
528_9;2008;61.89375818;8.910996229;1241
528_14;2008;61.88623447;8.923952603;1193
