Id;Aar;RuteNr;PktNr;FK_Vegetasjonstype1;Dekningsgrad1;;;;;;;
3871;2005;1703;7;22;80;;;;;;;
3872;2005;1703;8;9;50;;;;;;;
3873;2005;1703;9;13;50;;;;;;;
3874;2005;1703;10;13;40;;;;;;;
3875;2005;1703;11;10;40;;;;;;;
3876;2005;1703;12;22;100;;;;;;;
3877;2005;1703;13;22;100;;;;;;;
3878;2005;1703;14;22;100;;;;;;;
3879;2005;1703;15;22;100;;;;;;;
3880;2005;1703;16;22;100;;;;;;;
3881;2005;1703;17;22;100;;;;;;;
3882;2005;1703;18;22;100;;;;;;;
3883;2005;1703;19;22;100;;;;;;;
3884;2005;1703;20;22;80;;;;;;;
3885;2005;1704;1;13;80;;;;;;;
3886;2005;1704;2;13;90;;;;;;;
3887;2005;1704;3;1;100;;;;;;;
3888;2005;1704;4;3;85;;;;;;;
3889;2005;1704;5;2;60;;;;;;;
3890;2005;1704;7;8;100;;;;;;;
3891;2005;1704;8;13;50;;;;;;;
3892;2005;1704;9;8;60;;;;;;;
3893;2005;1704;10;26;60;;;;;;;
3894;2005;1704;11;10;40;;;;;;;
